CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Syrian Arab Republic,SYR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.7157804878049
Tajikistan,TJK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,69.4001707317073
Tanzania,TZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,64.2918292682927
Thailand,THA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.2469268292683
Timor-Leste,TMP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,67.5223658536585
Togo,TGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,59.1323658536585
Tonga,TON,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,72.6403414634147
Trinidad and Tobago,TTO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,70.3052926829268
Tunisia,TUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,73.6463414634147
Turkey,TUR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,75.1759512195122
Turkmenistan,TKM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,65.4565609756098
Uganda,UGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,57.7676829268293
Ukraine,UKR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,71.159512195122
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,77.1956341463415
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.9560975609756
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,78.8414634146341
Uruguay,URY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,76.8361951219512
Uzbekistan,UZB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,68.2275853658537
Vanuatu,VUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,71.669243902439
"Venezuela, RB",VEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.0744146341464
Vietnam,VNM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,75.756487804878
Virgin Islands (U.S.),VIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,79.6243902439024
West Bank and Gaza,WBG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,73.2033414634146
"Yemen, Rep.",YEM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,63.583512195122
Zambia,ZMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,59.2373658536585
Zimbabwe,ZWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,55.633
